B06Y16RL4W;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-Galaxy-Factory-Unlocked-Smartphone/dp/B06Y16RL4W;https://m.media-amazon.com/images/I/51wJeaY3ekL._AC_UY218_ML3_.jpg;3.7;https://www.amazon.com/product-reviews/B06Y16RL4W;793;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B06Y17BL9Y;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-Galaxy-G950U-Unlocked-Phone/dp/B06Y17BL9Y;https://m.media-amazon.com/images/I/61zppUp3YzL._AC_UY218_ML3_.jpg;2.5;https://www.amazon.com/product-reviews/B06Y17BL9Y;4;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B06Y189H68;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-Galaxy-64GB-Phone-display/dp/B06Y189H68;https://m.media-amazon.com/images/I/61sB9sjajWL._AC_UY218_ML3_.jpg;3.5;https://www.amazon.com/product-reviews/B06Y189H68;48;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B06Y2GX8K8;Sony;XperiaXZPremium;https://www.amazon.com/Sony-Xperia-XZ-Premium-Smartphone/dp/B06Y2GX8K8;https://m.media-amazon.com/images/I/81nfrNby6HL._AC_UY218_ML3_.jpg;4;https://www.amazon.com/product-reviews/B06Y2GX8K8;169;Android 7.1;5.46;3840x2160;3230;Li-Ion;4;2017-02-27;195;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;FALSE;FALSE;FALSE;TRUE;320
B06Y3HCFZT;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-Galaxy-64GB-Verizon-Wireless/dp/B06Y3HCFZT;https://m.media-amazon.com/images/I/810U1tjdnQL._AC_UY218_ML3_.jpg;4.1;https://www.amazon.com/product-reviews/B06Y3HCFZT;54;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B071DQ128D;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-SM-G955FD-6-2-Inch-FACTORY-UNLOCKED/dp/B071DQ128D;https://m.media-amazon.com/images/I/61heIFG3R5L._AC_UY218_ML3_.jpg;4.1;https://www.amazon.com/product-reviews/B071DQ128D;112;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B071H9KKKF;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-SM-G955FD-6-2-Inch-FACTORY-UNLOCKED/dp/B071H9KKKF;https://m.media-amazon.com/images/I/61MF7kZkrIL._AC_UY218_ML3_.jpg;4;https://www.amazon.com/product-reviews/B071H9KKKF;480;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B071JP8XDJ;Sony;XperiaXA1Ultra;https://www.amazon.com/Sony-Xperia-Ultra-Factory-Unlocked/dp/B071JP8XDJ;https://m.media-amazon.com/images/I/817MhreagcL._AC_UY218_ML3_.jpg;3.6;https://www.amazon.com/product-reviews/B071JP8XDJ;313;Android 7.0;6;1080x1920;2700;Li-Ion;4;2017-02-01;188;32;FALSE;TRUE;FALSE;FALSE;TRUE;FALSE;FALSE;FALSE;FALSE;FALSE;250
B071XBH5PL;Samsung;GalaxyS8+;https://www.amazon.com/SAMSUNG-GALAXY-PLUS-64GB-ORCHID/dp/B071XBH5PL;https://m.media-amazon.com/images/I/41tfoUf5quL._AC_UY218_ML3_.jpg;3.5;https://www.amazon.com/product-reviews/B071XBH5PL;4;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
B0724ZGB5K;Samsung;GalaxyS8+;https://www.amazon.com/Samsung-Galaxy-Unlocked-WARRANTY-Midnight/dp/B0724ZGB5K;https://m.media-amazon.com/images/I/61-cy8+UuaL._AC_UY218_ML3_.jpg;2.4;https://www.amazon.com/product-reviews/B0724ZGB5K;16;Android 7.0;6.2;1440x2960;3500;Li-Ion;6;2017-03-29;173;64;TRUE;TRUE;TRUE;FALSE;TRUE;TRUE;TRUE;TRUE;FALSE;FALSE;350
